Bin	Cr
0.00	1.73E-06
2.00	-2.99E-09
4.00	1.08E-07
6.00	-1.47E-09
8.00	3.30E-07
10.00	4.21E-06
12.00	1.43E-05
14.00	2.70E-05
16.00	3.17E-05
18.00	1.98E-05
20.00	7.53E-06
22.00	-2.69E-07
24.00	-6.67E-08
26.00	1.53E-07
28.00	0.000129542
30.00	0.000122225
32.00	0.000174298
34.00	-2.85E-08
36.00	4.88E-06
38.00	-2.64E-07
40.00	8.34E-05
42.00	3.23E-05
44.00	-2.24E-09
46.00	-6.47E-08
48.00	5.55E-05
50.00	1.04E-05
52.00	-5.64E-08
54.00	8.68E-06
56.00	3.77E-05
58.00	-7.07E-09
60.00	7.43E-06
62.00	-5.21E-08
64.00	3.29E-05
66.00	2.58E-05
68.00	3.79E-05
70.00	-1.04E-07
72.00	3.37E-05
74.00	2.44E-05
76.00	2.50E-05
78.00	-6.89E-08
80.00	2.74E-05
82.00	1.74E-05
84.00	1.92E-05
86.00	-5.52E-08
88.00	2.07E-05
90.00	9.70E-06
92.00	-6.37E-10
94.00	-2.26E-08
96.00	2.22E-05
98.00	1.19E-05
100.00	7.28E-06
102.00	-5.48E-08
104.00	2.33E-05
106.00	1.71E-05
108.00	7.88E-06
110.00	-3.25E-08
112.00	1.04E-05
114.00	1.10E-05
116.00	-2.47E-09
118.00	-7.23E-09
120.00	1.17E-05
122.00	1.98E-05
124.00	-5.36E-08
126.00	3.68E-06
128.00	1.99E-05
130.00	1.83E-05
132.00	1.31E-05
134.00	-5.76E-08
136.00	1.86E-05
138.00	8.53E-06
140.00	4.01E-05
142.00	-7.61E-08
144.00	3.13E-05
146.00	1.86E-05
148.00	6.73E-06
150.00	-3.01E-08
152.00	1.60E-05
154.00	8.26E-07
156.00	-1.10E-08
158.00	3.65E-06
160.00	3.57E-06
162.00	3.24E-06
164.00	-3.76E-09
166.00	-1.09E-08
168.00	7.72E-06
170.00	1.12E-05
172.00	-2.08E-08
174.00	7.58E-06
176.00	1.00E-05
178.00	-7.75E-09
180.00	6.10E-06
182.00	-1.26E-08
184.00	1.02E-05
186.00	5.72E-06
188.00	-1.14E-08
190.00	-6.33E-09
192.00	6.28E-06
194.00	1.13E-05
196.00	1.97E-06
198.00	-1.85E-08
200.00	7.17E-06
202.00	4.38E-06
204.00	-4.38E-09
206.00	-2.77E-09
208.00	5.50E-06
210.00	3.27E-07
212.00	1.56E-06
214.00	-7.40E-09
216.00	3.81E-06
218.00	1.75E-06
220.00	4.11E-06
222.00	-1.44E-08
224.00	9.96E-06
226.00	4.33E-06
228.00	-7.09E-09
230.00	-1.79E-09
232.00	4.39E-06
234.00	2.33E-06
236.00	-3.73E-09
238.00	-2.36E-09
240.00	1.17E-06
242.00	2.13E-06
244.00	9.03E-07
246.00	1.05E-06
248.00	1.75E-07
250.00	-8.10E-09
252.00	3.89E-06
254.00	6.25E-06
256.00	-8.41E-09
258.00	2.73E-06
260.00	7.32E-06
262.00	-1.01E-08
264.00	2.34E-06
266.00	2.75E-06
268.00	1.67E-06
270.00	-6.69E-09
272.00	4.23E-06
274.00	5.88E-07
276.00	-2.68E-09
278.00	1.84E-06
280.00	1.39E-06
282.00	-2.55E-09
284.00	6.73E-07
286.00	-4.68E-10
288.00	2.26E-06
290.00	-2.80E-09
292.00	2.61E-06
294.00	-2.36E-09
296.00	4.85E-07
298.00	1.60E-06
300.00	-4.07E-09
302.00	2.82E-06
304.00	7.22E-07
306.00	4.28E-06
308.00	1.08E-05
310.00	1.38E-05
312.00	-5.19E-08
314.00	-1.01E-07
316.00	0.000171971
318.00	1.78E-05
320.00	-6.42E-08
322.00	-1.38E-08
324.00	5.82E-06
326.00	4.29E-06
328.00	4.39E-06
330.00	-1.02E-09
332.00	4.12E-06
334.00	-1.39E-08
336.00	-2.44E-08
338.00	5.09E-05
340.00	1.01E-05
342.00	-4.05E-08
344.00	5.96E-06
346.00	3.85E-06
348.00	1.78E-06
350.00	3.91E-07
352.00	1.09E-07
354.00	-4.37E-10
356.00	3.01E-09
358.00	2.36E-09
360.00	1.08E-09
362.00	2.84E-10
364.00	8.21E-12
366.00	-2.50E-13
368.00	-9.01E-15
370.00	5.10E-14
372.00	4.03E-14
374.00	1.85E-14
376.00	4.94E-15
378.00	1.70E-16
380.00	-4.24E-18
382.00	-1.83E-19
384.00	8.40E-19
386.00	6.73E-19
388.00	3.12E-19
390.00	8.41E-20
392.00	3.48E-21
394.00	-6.99E-23
396.00	-3.62E-24
